種別,機種名,シリーズ名,キャリア,初期設定方法を見る,製品画像URL,"4Gデータ通信
（楽天回線／KDDI回線）",5Gデータ通信,"通話
（楽天回線／KDDI回線）","SMS
（楽天回線)","SMS
（KDDI回線)",SMS,確認SIMタイプ,"APN自動設定
海外／国内",接続先回線切替,ETWS,"緊急呼時の高精度な位置情報測位
",デュアルSIM,確認済OS/SWバージョン,特記コメント,Rakuten Link動作確認結果,非公式スマホ,動作確認済モデル番号,備考,記載日,対応製品,AIチャット非表示製品
Androidスマートフォン,moto g9 play,Motorola,その他（SIMフリースマホ）,,,〇,-,〇,〇,〇,〇,nano,△,△,△,△,,Android 10 / QPX30.30-Q3-38-59,,,,,,2021/2/5,,
Androidスマートフォン,moto g10,Motorola,その他（SIMフリースマホ）,,,〇,-,〇,〇,〇,〇,nano,△,△,△,△,,Android 11 / RRB31.Q1-3-48-2,,,,,,2021/8/27,,
Androidスマートフォン,moto g13,Motorola,その他（SIMフリースマホ）,,,〇,-,〇,〇,〇,〇,nano,△,△,△,△,,Android 13 / THA33.31-26,,,,,,2023/7/6,,
Androidスマートフォン,moto g30,Motorola,その他（SIMフリースマホ）,,,〇,-,〇,〇,〇,〇,nano,△,△,△,△,,Android 11 / RRC31.Q1-3-56,,,,,,2021/8/27,,
Androidスマートフォン,moto g31,Motorola,その他（SIMフリースマホ）,,,〇,-,〇,〇,〇,〇,nano,△,△,△,△,,Android 11 / RRWD31.Q3-26-73,,,,,,2022/3/29,,
Androidスマートフォン,moto g32,Motorola,その他（SIMフリースマホ）,,,〇,-,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM x 2,Android 12 / S2SN32.34-60,楽天回線対応デバイスです。,,,,,2023/1/30,〇,
Androidスマートフォン,moto g50 5G,Motorola,その他（SIMフリースマホ）,,,〇,×,〇,〇,〇,〇,nano,△,△,△,△,,Android 11 / RRS31.Q2-54-56,,,,,,2021/12/8,,
Androidスマートフォン,moto g52j 5G,Motorola,その他（SIMフリースマホ）,,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,△,,Android 11 / RRYBS31.Q3-80-29-4-3,,,,,,2023/2/8,,
Androidスマートフォン,moto g53j 5G,Motorola,その他（SIMフリースマホ）,,,〇,〇,〇,〇,〇,〇,nano,△,△,△,△,,Android 13 / T1TPS33.1-73-2-2,,,,,,2023/10/2,,
Androidスマートフォン,moto g53y 5G,Motorola,その他（SIMフリースマホ）,,,〇,〇,〇,〇,〇,〇,nano,△,△,△,△,,Android 13 / T1TPJ33.75-105-1,,,,,,2023/10/2,,
