#,エリア,国・地域,,,通信料金,
1,北米,アメリカ（本土）,,,データ容量から消費,
2,北米,アラスカ,,,データ容量から消費,
3,北米,カナダ,,,データ容量から消費,
4,北米,グアム,,,データ容量から消費,
5,北米,サイパン,,,データ容量から消費,
6,北米,ハワイ,,,データ容量から消費,
7,アジア,インド,,,データ容量から消費,
8,アジア,インドネシア,,,データ容量から消費,
9,アジア,韓国,,,データ容量から消費,
10,アジア,カンボジア,,,データ容量から消費,
11,アジア,北朝鮮,,,ご利用できません,
12,アジア,シンガポール,,,データ容量から消費,
13,アジア,スリランカ,,,ご利用できません,
14,アジア,タイ,,,データ容量から消費,
15,アジア,台湾,,,データ容量から消費,
16,アジア,中国,,,データ容量から消費,
17,アジア,ネパール,,,ご利用できません,
18,アジア,パキスタン,,,ご利用できません,
19,アジア,バングラデシュ,,,ご利用できません,
20,アジア,東ティモール,,,ご利用できません,
21,アジア,フィリピン,,,データ容量から消費,
22,アジア,ブータン,,,ご利用できません,
23,アジア,ブルネイ,,,ご利用できません,
24,アジア,ベトナム,,,データ容量から消費,
25,アジア,香港,,,データ容量から消費,
26,アジア,マカオ,,,データ容量から消費,
27,アジア,マレーシア,,,データ容量から消費,
28,アジア,ミャンマー,,,データ容量から消費,
29,アジア,モルディブ,,,ご利用できません,
30,アジア,モンゴル,,,ご利用できません,
31,アジア,ラオス,,,ご利用できません,
32,ヨーロッパ,アイスランド,,,データ容量から消費,
33,ヨーロッパ,アイルランド,,,データ容量から消費,
34,ヨーロッパ,アゼルバイジャン,,,ご利用できません,
35,ヨーロッパ,アゾレス諸島,,,データ容量から消費,
36,ヨーロッパ,アルバニア,,,ご利用できません,
37,ヨーロッパ,アルメニア,,,ご利用できません,
38,ヨーロッパ,アンドラ,,,データ容量から消費,
39,ヨーロッパ,イギリス,,,データ容量から消費,
40,ヨーロッパ,イタリア,,,データ容量から消費,
41,ヨーロッパ,ウクライナ,,,ご利用できません,
42,ヨーロッパ,ウズベキスタン,,,ご利用できません,
43,ヨーロッパ,エストニア,,,データ容量から消費,
44,ヨーロッパ,オーストリア,,,データ容量から消費,
45,ヨーロッパ,オランダ,,,データ容量から消費,
46,ヨーロッパ,ガーンジー,,,ご利用できません,
47,ヨーロッパ,カザフスタン,,,ご利用できません,
