掲載順,管理表Key,link,bnr,title,description,annotation,tag,display_price_text,display_max_bonus,20240522-0900,,,,,
1,5月後半マラソン_240521,/campaign/marathon/?l-id=campaign_campaign_bigsale,bnr-marathon-328-185-240521.png,楽天市場でのお買い物のポイントが最大55倍キャンペーン,キャンペーンページから5/27（月）09:59までに楽天モバイルお申し込みで、楽天市場のお買い物マラソン期間中の楽天市場でのお買い物のポイントが＋9倍、最大55倍になります！（上限あり）,※対象プラン等条件有,はじめて／2回線目以降／SIMのみ,,,,,,,,
2,料金シミュレーション_240417,/campaign/fee-simulation/?l-id=campaign_campaign_fee-simulation,bnr-fee-simulation-328-185-240417.png,スマホ料金＆ポイントかんたんシミュレーション！,3ステップで毎月どれだけおトクになるかわかる！,,はじめて,,,,,,,,
3,"MNP13,000ポイントCPN_240315",/campaign/mnp/?l-id=campaign_campaign_mnp,bnr-mnp-328-185-240315.png,他社から乗り換えでポイントプレゼントキャンペーン,"スマホそのまま乗り換え！電話番号もそのまま他社から乗り換え＆初めてお申し込みで6,000ポイントプレゼント!データ3GB（税込1,078円）x5カ月分がポイント還元で実質5カ月無料！",,はじめて／SIMのみ,,,,,,,,
4,紹介CPN_240201,/campaign/referral/?l-id=campaign_campaign_referral,bnr-referral-328-185-240201.png,楽天モバイル紹介キャンペーン,"楽天モバイルご契約者様からのご紹介でポイントプレゼント！
電話番号そのまま乗り換え（MNP）で楽天モバイルを初めてお申し込みの方は13,000ポイント、乗り換え（MNP）以外で初めてお申し込みの方は6,000ポイントを進呈！",※おひとり様1回まで,はじめて／iPhone／Android／SIMのみ,,,,,,,,
5,Android値引き_240522,/campaign/android-discount/?l-id=campaign_campaign_android-discount,bnr-android-discount-328-185-240522.png,"楽天モバイルお申し込み＆対象製品ご購入で最大26,930円値引き！","楽天モバイルお申し込み＆対象製品（Xperia 10 V、AQUOS sense8、AQUOS wish3、OPPO Reno9 A）ご購入で最大26,930円値引き！2回線目以降も対象です。",,はじめて／2回線目以降／Android,,,,,,,,
6,Android CPN_240522,/campaign/start-point/?l-id=campaign_campaign_start-point,bnr-start-point-328-185-240522.png,スマホトク得乗り換えキャンペーン,"楽天モバイルへ初めてお申し込み＋他社から電話番号そのまま乗り換え＋対象のAndroid製品をご購入いただくと最大12,000ポイント還元！他社から乗り換え以外の方でも最大8,000ポイント還元中！",,"はじめて／Android
",,1,,,,,,
7,1円CPN_231124,/campaign/hand-5g-wifi-pocket-1yen/?l-id=campaign_campaign_hand-5g-wifi-pocket-1yen,bnr-hand-5g-wifi-pocket-1yen-328-185-231124.png,Rakuten WiFi Pocket 1円キャンペーン,2回線目以降でも対象！楽天モバイルへお申し込みでRakuten WiFi Pocket 2Cが1円で購入できるお得なキャンペーン,,はじめて／2回線目以降／モバイルWifi,,,,,,,,
8,来店予約100CPN_240415,/shop/weekday-reservation/?l-id=campaign_shop_weekday-reservation,bnr-weekday-reservation-328-185-240415.png,平日限定！楽天モバイルショップの来店予約とご来店アンケートに回答で100ポイント！,楽天モバイルショップの来店予約（平日を選択）をして、ご来店アンケートにご回答いただくと100ポイントプレゼントいたします。,,はじめて／2回線目以降／iPhone／Android／モバイルWifi／SIMのみ,,,,,,,,
9,"New2,000CPN_231207",/campaign/new-application/?l-id=campaign_campaign_new-application,bnr-new-application-328-185-231207.png,"【Rakuten最強プランはじめてお申し込み特典】新規ご契約・プラン変更（移行）で2,000ポイントプレゼントキャンペーン","楽天モバイルへ初めてのお申し込みで2,000ポイントプレゼントキャンペーン開催中！",,はじめて／SIMのみ,,,,,,,,
10,iPhone CPN_240517,/campaign/iphone-point/?l-id=campaign_campaign_iphone-point,bnr-iphone-point-328-185-240517.png,iPhoneトク得乗り換えキャンペーン,"対象iPhoneを一括または24回払いで購入＆楽天モバイルへ初めて申し込み＆他社から電話番号そのまま乗り換えで最大32,000円相当おトク！",,はじめて／2回線目以降／iPhone,,1,,,,,,
11,SPU_mobile_231201,/campaign/spu/?l-id=campaign_campaign_spu,bnr-spu-mobile-328-185-231201-member.png,契約後は楽天市場のお買い物でポイントが貯まりやすく！,楽天モバイルをご契約後は楽天市場のお買い物が毎日全員ポイント5倍に！さらに楽天のサービスを使えば使うほどポイントUP！,　,はじめて／2回線目以降／iPhone／Android／モバイルWifi／SIMのみ,　,　,,,,,,
12,カード同時_240415,/guide/application/card-campaign/?l-id=campaign_rakuten-card,bnr-card-campaign-14000-328-185-240315.png,"【楽天モバイル×楽天カード】
同時申し込みで最大14,000ポイント！","キャンペーンページより楽天カード＆はじめて楽天モバイルお申し込み・ご利用で最大14,000ポイント！","※楽天モバイルと楽天カードにご登録の楽天IDが同一でない場合対象外になります。
※14,000ポイントの内訳:①楽天カード新規入会＆利用で5,000ポイント②楽天モバイルと楽天カード同時申込で3,000ポイント③楽天モバイルはじめて＆他社から乗り換えで6,000ポイント。",はじめて／2回線目以降／SIMのみ,,1,,,,,,
13,データSIM_231101,/fee/saikyo-plan/data-type/?l-id=campaign_fee_saikyo-plan_data-type,bnr-data-type-328-185-231101.png,データ通信専用 Rakuten最強プラン（データタイプ）お申し込みキャンペーン,"Rakuten最強プラン（データタイプ）は、本人確認書類の提出が不要！初めてのお申し込みで、1,081円相当分のポイント還元！楽天モバイルのデータ通信品質をお試しできます！",,はじめて,1,,,,,,,
14,YouTube Premium_230516,/campaign/youtubepremium/?l-id=campaign_campaign_youtubepremium,bnr-youtube-premium-328-185-230516.png,YouTube Premium 3カ月無料キャンペーン,"動画も音楽もノンストップ。
広告なしの Y⁠o⁠u⁠T⁠u⁠b⁠e と Y⁠o⁠u⁠T⁠u⁠b⁠e⁠ ⁠M⁠u⁠s⁠i⁠c を⁠、バ⁠ッ⁠ク⁠グ⁠ラ⁠ウ⁠ン⁠ド⁠再生やオ⁠フ⁠ラ⁠イ⁠ン⁠環⁠境⁠⁠で楽しめる「YouTube Premium」が3カ月無料！",,はじめて／2回線目以降／SIMのみ,,,,,,,,
